FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
1,2010-06-04 18:45:00+00:00,Falcon 9,8117.574038461539,LEO,CCSFS SLC 40,None None,1,False,False,False,,1.0,0,B0003,-80.577366,28.5618571
2,2010-12-08 15:43:00+00:00,Falcon 9,8117.574038461539,LEO,CCSFS SLC 40,None None,1,False,False,False,,1.0,0,B0004,-80.577366,28.5618571
3,2012-05-22 07:44:00+00:00,Falcon 9,525.0,LEO,CCSFS SLC 40,None None,1,False,False,False,,1.0,0,B0005,-80.577366,28.5618571
4,2012-10-08 00:35:00+00:00,Falcon 9,400.0,ISS,CCSFS SLC 40,None None,1,False,False,False,,1.0,0,B0006,-80.577366,28.5618571
5,2013-03-01 19:10:00+00:00,Falcon 9,677.0,ISS,CCSFS SLC 40,None None,1,False,False,False,,1.0,0,B0007,-80.577366,28.5618571
6,2013-09-29 16:00:00+00:00,Falcon 9,500.0,PO,VAFB SLC 4E,False Ocean,1,False,False,False,,1.0,0,B1003,-120.610829,34.632093
7,2013-12-03 22:41:00+00:00,Falcon 9,3170.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,0,B1004,-80.577366,28.5618571
8,2014-01-06 18:06:00+00:00,Falcon 9,3325.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,0,B1005,-80.577366,28.5618571
9,2014-04-18 19:25:00+00:00,Falcon 9,2296.0,ISS,CCSFS SLC 40,True Ocean,1,False,False,True,,1.0,0,B1006,-80.577366,28.5618571
10,2014-07-14 15:15:00+00:00,Falcon 9,1316.0,LEO,CCSFS SLC 40,True Ocean,1,False,False,True,,1.0,0,B1007,-80.577366,28.5618571
11,2014-08-05 08:00:00+00:00,Falcon 9,4535.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,0,B1008,-80.577366,28.5618571
12,2014-09-07 05:00:00+00:00,Falcon 9,4428.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,0,B1011,-80.577366,28.5618571
13,2014-09-21 05:52:00+00:00,Falcon 9,2216.0,ISS,CCSFS SLC 40,False Ocean,1,False,False,False,,1.0,0,B1010,-80.577366,28.5618571
14,2015-01-10 09:47:00+00:00,Falcon 9,2395.0,ISS,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,0,B1012,-80.577366,28.5618571
15,2015-02-11 23:03:00+00:00,Falcon 9,570.0,ES-L1,CCSFS SLC 40,True Ocean,1,True,False,True,,1.0,0,B1013,-80.577366,28.5618571
